Number  Position  Material  Node1  Node2  Node3  Node4
570   9      1      1335      1380      1381      1336
571   9      1      1380      1425      1426      1381
572   9      1      1425      1470      1471      1426
573   9      1      1470      1515      1516      1471
574   9      1      1515      1560      1561      1516
575   9      1      1560      1605      1606      1561
576   9      1      1605      1650      1651      1606
577   9      1      211      256      257      212
578   9      1      256      301      302      257
579   9      1      301      346      347      302
580   9      1      346      391      392      347
581   9      1      391      436      437      392
582   9      1      436      481      482      437
583   9      1      481      526      527      482
584   9      1      526      571      572      527
585   9      1      571      616      617      572
586   9      1      616      661      662      617
587   9      1      661      706      707      662
588   9      1      706      751      752      707
589   9      1      751      796      797      752
590   9      1      796      841      842      797
591   9      1      841      886      887      842
592   9      1      886      931      932      887
593   9      1      931      976      977      932
594   9      1      976      1021      1022      977
595   9      1      1021      1066      1067      1022
596   9      1      1066      1111      1112      1067
597   9      1      1111      1156      1157      1112
598   9      1      1156      1201      1202      1157
599   9      1      1201      1246      1247      1202
600   9      1      1246      1291      1292      1247
601   9      1      1291      1336      1337      1292
602   9      1      1336      1381      1382      1337
603   9      1      1381      1426      1427      1382
604   9      1      1426      1471      1472      1427
605   9      1      1471      1516      1517      1472
606   9      1      1516      1561      1562      1517
607   9      1      1561      1606      1607      1562
608   9      1      1606      1651      1652      1607
609   9      1      212      257      258      213
610   9      1      257      302      303      258
611   9      1      302      347      348      303
612   9      1      347      392      393      348
613   9      1      392      437      438      393
614   9      1      437      482      483      438
615   9      1      482      527      528      483
616   9      1      527      572      573      528
617   9      1      572      617      618      573
618   9      1      617      662      663      618
619   9      1      662      707      708      663
620   9      1      707      752      753      708
621   9      1      752      797      798      753
622   9      1      797      842      843      798
623   9      1      842      887      888      843
624   9      1      887      932      933      888
625   9      1      932      977      978      933
626   9      1      977      1022      1023      978
627   9      1      1022      1067      1068      1023
628   9      1      1067      1112      1113      1068
629   9      1      1112      1157      1158      1113
630   9      1      1157      1202      1203      1158
631   9      1      1202      1247      1248      1203
632   9      1      1247      1292      1293      1248
633   9      1      1292      1337      1338      1293
634   9      1      1337      1382      1383      1338
635   9      1      1382      1427      1428      1383
636   9      1      1427      1472      1473      1428
637   9      1      1472      1517      1518      1473
638   9      1      1517      1562      1563      1518
639   9      1      1562      1607      1608      1563
640   9      1      1607      1652      1653      1608
641   9      1      213      258      259      214
642   9      1      258      303      304      259
643   9      1      303      348      349      304
644   9      1      348      393      394      349
645   9      1      393      438      439      394
646   9      1      438      483      484      439
647   9      1      483      528      529      484
648   9      1      528      573      574      529
649   9      1      573      618      619      574
650   9      1      618      663      664      619
651   9      1      663      708      709      664
652   9      1      708      753      754      709
653   9      1      753      798      799      754
654   9      1      798      843      844      799
655   9      1      843      888      889      844
656   9      1      888      933      934      889
657   9      1      933      978      979      934
658   9      1      978      1023      1024      979
659   9      1      1023      1068      1069      1024
660   9      1      1068      1113      1114      1069
661   9      1      1113      1158      1159      1114
662   9      1      1158      1203      1204      1159
663   9      1      1203      1248      1249      1204
664   9      1      1248      1293      1294      1249
665   9      1      1293      1338      1339      1294
666   9      1      1338      1383      1384      1339
667   9      1      1383      1428      1429      1384
668   9      1      1428      1473      1474      1429
669   9      1      1473      1518      1519      1474
670   9      1      1518      1563      1564      1519
671   9      1      1563      1608      1609      1564
672   9      1      1608      1653      1654      1609
673   9      1      214      259      260      215
674   9      1      259      304      305      260
675   9      1      304      349      350      305
676   9      1      349      394      395      350
677   9      1      394      439      440      395
678   9      1      439      484      485      440
679   9      1      484      529      530      485
680   9      1      529      574      575      530
681   9      1      574      619      620      575
682   9      1      619      664      665      620
683   9      1      664      709      710      665
684   9      1      709      754      755      710
685   9      1      754      799      800      755
686   9      1      799      844      845      800
687   9      1      844      889      890      845
688   9      1      889      934      935      890
689   9      1      934      979      980      935
690   9      1      979      1024      1025      980
691   9      1      1024      1069      1070      1025
692   9      1      1069      1114      1115      1070
693   9      1      1114      1159      1160      1115
694   9      1      1159      1204      1205      1160
695   9      1      1204      1249      1250      1205
696   9      1      1249      1294      1295      1250
697   9      1      1294      1339      1340      1295
698   9      1      1339      1384      1385      1340
699   9      1      1384      1429      1430      1385
700   9      1      1429      1474      1475      1430
701   9      1      1474      1519      1520      1475
702   9      1      1519      1564      1565      1520
703   9      1      1564      1609      1610      1565
704   9      1      1609      1654      1655      1610
705   9      1      215      260      261      216
706   9      1      260      305      306      261
707   9      1      305      350      351      306
708   9      1      350      395      396      351
709   9      1      395      440      441      396
710   9      1      440      485      486      441
711   9      1      485      530      531      486
712   9      1      530      575      576      531
713   9      1      575      620      621      576
714   9      1      620      665      666      621
715   9      1      665      710      711      666
